catalogNumber,recordedBy,scientificName,family,institutionCode,continent,country,stateProvince,county,municipality,locality
TULV8854,W. Devia,Guatteria,ANNONACEAE,Instituto para la Investigación y la Preservación del Patrimonio Cultural y Natural del Valle del Cauca,SA,Colombia,Nariño,Barbacoas,Junín,Vía Barbacoas-Junín.
TULV8906,W. Devia,Guatteria,ANNONACEAE,Instituto para la Investigación y la Preservación del Patrimonio Cultural y Natural del Valle del Cauca,SA,Colombia,Valle del Cauca,Buenaventura,Málaga,"Vía Malaga, Km. 47, bosque pluvial Tropical."
TULV8913,W. Devia,Unonopsis,ANNONACEAE,Instituto para la Investigación y la Preservación del Patrimonio Cultural y Natural del Valle del Cauca,SA,Colombia,Valle del Cauca,Buenaventura,Canalete,"Corregimiento Canalete, Km. 28, vía Málaga, bosque pluvial Tropical."
TULV10343,"W. Devia, A. Cogollo, G. Ramirez, A. Cruz",Oxandra,ANNONACEAE,Instituto para la Investigación y la Preservación del Patrimonio Cultural y Natural del Valle del Cauca,SA,Colombia,Valle del Cauca,Buenaventura,Córdoba,"Reserva Natural río Escalerete, bosque pluvial Tropical. Transecto 14."
TULV10344,"W. Devia, D. Cardenas, A. Cruz",Pseudoxandra pacifica Maas,ANNONACEAE,Instituto para la Investigación y la Preservación del Patrimonio Cultural y Natural del Valle del Cauca,SA,Colombia,Valle del Cauca,Buenaventura,Córdoba,"Corregimiento Cordoba, Vereda San Cipriano, Reserva Natural río Escalerete, bosque pluvial Tropical, Región Fitogeografica del Chocó. Transecto 9."
TULV10345,"W. Devia, A. Cogollo, G. Ramirez, A. Cruz",Unonopsis,ANNONACEAE,Instituto para la Investigación y la Preservación del Patrimonio Cultural y Natural del Valle del Cauca,SA,Colombia,Valle del Cauca,Buenaventura,Córdoba,"Reserva Natural río Escalerete, bosque pluvial Tropical. Transecto 15."
TULV10346,"W. Devia, A. Cogollo, G. Ramirez, A. Cruz",Unonopsis,ANNONACEAE,Instituto para la Investigación y la Preservación del Patrimonio Cultural y Natural del Valle del Cauca,SA,Colombia,Valle del Cauca,Buenaventura,Córdoba,"Reserva Natural río Escalerete, bosque pluvial Tropical. Transecto 16."
TULV10347,"W. Devia, A. Cogollo, G. Ramirez, A. Cruz",Xylopia,ANNONACEAE,Instituto para la Investigación y la Preservación del Patrimonio Cultural y Natural del Valle del Cauca,SA,Colombia,Valle del Cauca,Buenaventura,Córdoba,"Reserva Natural río Escalerete, bosque pluvial Tropical. Transecto 17."
TULV10348,"W. Devia, D. Cardenas, A. Cruz",Guatteria,ANNONACEAE,Instituto para la Investigación y la Preservación del Patrimonio Cultural y Natural del Valle del Cauca,SA,Colombia,Valle del Cauca,Buenaventura,Córdoba,"Corregimiento Cordoba, San Cipriano, Reserva Natural río Escalerete, bosque pluvial Tropical, Región Fitogeográfica del Chocó."
TULV10349,"W. Devia, D. Cardenas, A. Cruz",Oxandra,ANNONACEAE,Instituto para la Investigación y la Preservación del Patrimonio Cultural y Natural del Valle del Cauca,SA,Colombia,Valle del Cauca,Buenaventura,Córdoba,"Corregimiento Cordoba, San Cipriano, Reserva Natural río Escalerete, bosque pluvial Tropical, Región Fitogeográfica del Chocó."
TULV10350,"W. Devia, A. Cogollo, G. Ramirez, A. Cruz",Unonopsis,ANNONACEAE,Instituto para la Investigación y la Preservación del Patrimonio Cultural y Natural del Valle del Cauca,SA,Colombia,Valle del Cauca,Buenaventura,Córdoba,"Reserva Natural río Escalerete, bosque pluvial Tropical. Transecto 18."
TULV10351,"W. Devia, D. Cardenas, A. Cruz",Duguetia odorata(Diels) J.F.Macbr.,ANNONACEAE,Instituto para la Investigación y la Preservación del Patrimonio Cultural y Natural del Valle del Cauca,SA,Colombia,Valle del Cauca,Buenaventura,Córdoba,"Corregimiento Cordoba, San Cipriano, Reserva Natural río Escalerete, bosque pluvial Tropical, Región Fitogeografica del Chocó."
TULV10352,"W. Devia, D. Cardenas, A. Cruz",Pseudoxandra pacifica Maas,ANNONACEAE,Instituto para la Investigación y la Preservación del Patrimonio Cultural y Natural del Valle del Cauca,SA,Colombia,Valle del Cauca,Buenaventura,Córdoba,"Corregimiento Cordoba, Vereda San Cipriano, Reserva Natural río Escalerete, bosque pluvial Tropical, Región Fitogeográfica del Chocó."
TULV10355,"W. Devia, D. Cardenas, A. Cruz",Guatteria,ANNONACEAE,Instituto para la Investigación y la Preservación del Patrimonio Cultural y Natural del Valle del Cauca,SA,Colombia,Valle del Cauca,Buenaventura,Córdoba,"Corregimiento Cordoba, San Cipriano, Reserva Natural río Escalerete, bosque pluvial Tropical, Región Fitogeográfica del Chocó. Transecto 2."
TULV10356,"W. Devia, D. Cardenas, A. Cruz",Guatteria,ANNONACEAE,Instituto para la Investigación y la Preservación del Patrimonio Cultural y Natural del Valle del Cauca,SA,Colombia,Valle del Cauca,Buenaventura,Córdoba,"Corregimiento Cordoba, vereda San Cipriano, Reserva Natural río Escalerete, bosque pluvial Tropical, Región Fitogeográfica del Chocó. Transecto 5."
TULV10357,"W. Devia, D. Cardenas, A. Cruz",Unonopsis,ANNONACEAE,Instituto para la Investigación y la Preservación del Patrimonio Cultural y Natural del Valle del Cauca,SA,Colombia,Valle del Cauca,Buenaventura,Córdoba,"Corregimiento Cordoba, vereda San Cipriano, Reserva Natural río Escalerete, bosque pluvial Tropical, Región Fitogeográfica del Chocó. Transecto 6."
TULV10358,"W. Devia, D. Cardenas, A. Cruz",Pseudoxandra pacifica Maas,ANNONACEAE,Instituto para la Investigación y la Preservación del Patrimonio Cultural y Natural del Valle del Cauca,SA,Colombia,Valle del Cauca,Buenaventura,Córdoba,"Corregimiento Cordoba, Vereda San Cipriano, Reserva Natural río Escalerete, bosque pluvial Tropical, Región Fitogeografica del Chocó. Transecto 8."
TULV10359,"W. Devia, D. Cardenas, A. Cruz",Guatteria,ANNONACEAE,Instituto para la Investigación y la Preservación del Patrimonio Cultural y Natural del Valle del Cauca,SA,Colombia,Valle del Cauca,Buenaventura,Córdoba,"Corregimiento Cordoba, vereda San Cipriano, Reserva Natural río Escalerete, bosque pluvial Tropical, Región Fitogeográfica del Chocó."
TULV10360,"W. Devia, D. Cardenas, A. Cruz",Xylopia columbiana R.E.Fr.,ANNONACEAE,Instituto para la Investigación y la Preservación del Patrimonio Cultural y Natural del Valle del Cauca,SA,Colombia,Valle del Cauca,Buenaventura,Córdoba,"Corregimiento Cordoba, vereda San Cipriano, Reserva Natural río Escalerete, bosque pluvial Tropical, Región Fitogeográfica del Chocó."
TULV10361,"W. Devia, D. Cardenas, A. Cruz",Unonopsis,ANNONACEAE,Instituto para la Investigación y la Preservación del Patrimonio Cultural y Natural del Valle del Cauca,SA,Colombia,Valle del Cauca,Buenaventura,Córdoba,"Corregimiento Cordoba, Vereda San Cipriano, Reserva Natural río Escalerete, bosque pluvial Tropical, Región Fitogeográfica del Chocó. Transecto 1."
TULV10362,"W. Devia, D. Cardenas, A. Cruz",Guatteria,ANNONACEAE,Instituto para la Investigación y la Preservación del Patrimonio Cultural y Natural del Valle del Cauca,SA,Colombia,Valle del Cauca,Buenaventura,Córdoba,"Corregimiento Cordoba, San Cipriano, Reserva Natural río Escalerete, bosque pluvial Tropical, Región Fitogeográfica del Chocó. Transecto 1."
TULV10363,"W. Devia, A. Cogollo, G. Ramirez, A. Cruz",Unonopsis,ANNONACEAE,Instituto para la Investigación y la Preservación del Patrimonio Cultural y Natural del Valle del Cauca,SA,Colombia,Valle del Cauca,Buenaventura,Córdoba,"Reserva Natural río Escalerete, bosque pluvial Tropical. Transecto 11."
TULV10364,"W. Devia, D. Cardenas, A. Cruz",Guatteria cargadero Triana & Planch.,ANNONACEAE,Instituto para la Investigación y la Preservación del Patrimonio Cultural y Natural del Valle del Cauca,SA,Colombia,Valle del Cauca,Buenaventura,Córdoba,"Corregimiento Cordoba, San Cipriano, Reserva Natural río Escalerete, bosque pluvial Tropical, Región Fitogeográfica del Chocó. Transecto 1."
TULV10365,"W. Devia, D. Cardenas, A. Cruz",Tournefortia,BORAGINACEAE,Instituto para la Investigación y la Preservación del Patrimonio Cultural y Natural del Valle del Cauca,SA,Colombia,Valle del Cauca,Buenaventura,Córdoba,"Corregimiento Cordoba, San Cipriano, Reserva Natural río Escalerete, bosque pluvial Tropical, Región Fitogeográfica del Chocó. Transecto 9."
TULV10366,"W. Devia, A. Cogollo, G. Ramirez, A. Cruz",Guatteria,ANNONACEAE,Instituto para la Investigación y la Preservación del Patrimonio Cultural y Natural del Valle del Cauca,SA,Colombia,Valle del Cauca,Buenaventura,Córdoba,"Reserva Natural río Escalerete, bosque pluvial Tropical. Transecto 13."
TULV10367,"W. Devia, D. Cardenas, A. Cruz",Unonopsis,ANNONACEAE,Instituto para la Investigación y la Preservación del Patrimonio Cultural y Natural del Valle del Cauca,SA,Colombia,Valle del Cauca,Buenaventura,Córdoba,"Corregimiento Cordoba, vereda San Cipriano, Reserva Natural río Escalerete, bosque pluvial Tropical, Región Fitogeográfica del Chocó. Transecto 9."
TULV10368,"W. Devia, D. Cardenas, A. Cruz",Annona,ANNONACEAE,Instituto para la Investigación y la Preservación del Patrimonio Cultural y Natural del Valle del Cauca,SA,Colombia,Valle del Cauca,Buenaventura,Córdoba,"Corregimiento Cordoba, San Cipriano, Reserva Natural río Escalerete, bosque pluvial Tropical, Región Fitogeográfica del Chocó. Transecto 9."
TULV10369,"W. Devia, D. Cardenas, A. Cruz",Crematosperma,ANNONACEAE,Instituto para la Investigación y la Preservación del Patrimonio Cultural y Natural del Valle del Cauca,SA,Colombia,Valle del Cauca,Buenaventura,Córdoba,"Corregimiento Cordoba, San Cipriano, Reserva Natural río Escalerete, bosque pluvial Tropical, Región Fitogeografica del Chocó."
TULV10370,"W. Devia, D. Cardenas, A. Cruz",Duguetia odorata(Diels) J.F.Macbr.,ANNONACEAE,Instituto para la Investigación y la Preservación del Patrimonio Cultural y Natural del Valle del Cauca,SA,Colombia,Valle del Cauca,Buenaventura,Córdoba,"Corregimiento Cordoba, San Cipriano, Reserva Natural río Escalerete, bosque pluvial Tropical, Región Fitogeografica del Chocó. Transecto 5."
TULV11213,"K. S. Edwards, W. Devia",Guatteria,ANNONACEAE,Instituto para la Investigación y la Preservación del Patrimonio Cultural y Natural del Valle del Cauca,SA,Colombia,Valle del Cauca,Buenaventura,Bendiciones,"Ca. 30 Km on road Buenaventura-Cali, pendiciones"
TULV11344,"K. S. Edwards, M. Ruiz E., M. Esperanza R.",Guatteria crassipes R.E.Fr.,ANNONACEAE,Instituto para la Investigación y la Preservación del Patrimonio Cultural y Natural del Valle del Cauca,SA,Colombia,Valle del Cauca,Cali,Sin especificar,"Parcelación Chorro de plata, path to waterfall Chorro de Plata."
TULV12060,"R. Ruiz, E. Correa",Sin especificar,ANNONACEAE,Instituto para la Investigación y la Preservación del Patrimonio Cultural y Natural del Valle del Cauca,SA,Colombia,Valle del Cauca,Palmira,Toche,"I.P. Toche, Vereda La Tigrera, Finca Marulanda."
TULV12114,"R. Ruiz, C. Quiceno, A. Beltran",Guatteria,ANNONACEAE,Instituto para la Investigación y la Preservación del Patrimonio Cultural y Natural del Valle del Cauca,SA,Colombia,Valle del Cauca,Palmira,Sin especificar,"Vereda los Tambos, quebrada Aguazul, carretera vereda la María-vereda Aguazul."
TULV12115,"R. Ruiz, C. Quiceno, A. Beltran",Guatteria,ANNONACEAE,Instituto para la Investigación y la Preservación del Patrimonio Cultural y Natural del Valle del Cauca,SA,Colombia,Valle del Cauca,Palmira,Sin especificar,"Vereda los Tambos, quebrada Aguazul, carretera vereda la María-vereda Aguazul."
TULV12123,"R. Ruiz, A. Beltran",Annona,ANNONACEAE,Instituto para la Investigación y la Preservación del Patrimonio Cultural y Natural del Valle del Cauca,SA,Colombia,Valle del Cauca,Palmira,Tenjo,"Inspección de Policía de Tenjo, quebrada Los Cuervos."
TULV12390,"W. Devia, A. Cogollo, A. Cruz, S. Gonzalez",Guatteria,ANNONACEAE,Instituto para la Investigación y la Preservación del Patrimonio Cultural y Natural del Valle del Cauca,SA,Colombia,Valle del Cauca,Buenaventura,Córdoba,"Corregimiento Cordoba, vereda San Cipriano, Reserva Natural río Escalerete, Región Biogeográfica del Chocó. Montaje parcelas Permanentes Investigación-Cuad.:E-3  Ind: 68"
TULV12391,"W. Devia, A. Cogollo, A. Cruz, S. Gonzalez",Guatteria,ANNONACEAE,Instituto para la Investigación y la Preservación del Patrimonio Cultural y Natural del Valle del Cauca,SA,Colombia,Valle del Cauca,Buenaventura,Córdoba,"Corregimiento Cordoba, vereda San Cipriano, Reserva Natural río Escalerete, Región Biogeográfica del Chocó. Montaje parcelas Permanentes Investigación-Cuad.:E-3  Ind: 69"
TULV12498,"W. Devia, D. Cardenas, A. Cruz",Guatteria,ANNONACEAE,Instituto para la Investigación y la Preservación del Patrimonio Cultural y Natural del Valle del Cauca,SA,Colombia,Valle del Cauca,Buenaventura,Córdoba,"Corregimiento Cordoba, San Cipriano, Reserva Natural río Escalerete"
TULV12597,"W. Devia, A. Cogollo, A. Cruz, S. Gonzalez",Guatteria,ANNONACEAE,Instituto para la Investigación y la Preservación del Patrimonio Cultural y Natural del Valle del Cauca,SA,Colombia,Valle del Cauca,Buenaventura,Córdoba,"Corregimiento Cordoba, San Cipriano, Reserva Natural rio Escalerete, Region Biogeografica del Choco. Montaje parcelas permanentes Investigacion-Cuad.:E24, Ind: 488,"
TULV12598,"W. Devia, A. Cogollo, A. Cruz, S. Gonzalez",Guatteria,ANNONACEAE,Instituto para la Investigación y la Preservación del Patrimonio Cultural y Natural del Valle del Cauca,SA,Colombia,Valle del Cauca,Buenaventura,Córdoba,"Corregimiento Cordoba, San Cipriano, Reserva Natural río Escalerete, Región Biogeográfica del Chocó. Montaje parcelas permanentes Investigación-Cuad.:E21, Ind: 420"
TULV12599,"W. Devia, A. Cogollo, A. Cruz, S. Gonzalez",Anaxagorea,ANNONACEAE,Instituto para la Investigación y la Preservación del Patrimonio Cultural y Natural del Valle del Cauca,SA,Colombia,Valle del Cauca,Buenaventura,Córdoba,"Corregimiento Cordoba, San Cipriano, Reserva Natural rio Escalerete, Region Biogeografica del Choco. Montaje parcelas permanentes Investigacion-Cuad.:E22, Ind: 445,"
TULV18071,"W. Devia, A. Cogollo, A. Cruz, S. Gonzalez",Sin especificar,ANNONACEAE,Instituto para la Investigación y la Preservación del Patrimonio Cultural y Natural del Valle del Cauca,SA,Colombia,Valle del Cauca,Buenaventura,Córdoba,"Corregimiento Cordoba, vereda San Cipriano, Reserva Natural río Escalerete, Región Biogeográfica del Chocó. Montaje parcelas permanentes Investigación-Cuad.:E-16 Ind: 315"
TULV12601,"W. Devia, A. Cogollo, A. Cruz, S. Gonzalez",Rollinia,ANNONACEAE,Instituto para la Investigación y la Preservación del Patrimonio Cultural y Natural del Valle del Cauca,SA,Colombia,Valle del Cauca,Buenaventura,Córdoba,"Corregimiento Cordoba, vereda San Cipriano, Reserva Natural río Escalerete, Región Biogeográfica del Chocó. Montaje parcelas permanentes Investigación-Cuad.:E-12 Ind: 250"
TULV12602,"W. Devia, A. Cogollo, A. Cruz, S. Gonzalez",Rollinia,ANNONACEAE,Instituto para la Investigación y la Preservación del Patrimonio Cultural y Natural del Valle del Cauca,SA,Colombia,Valle del Cauca,Buenaventura,Córdoba,"Corregimiento Cordoba, San Cipriano, Reserva Natural río Escalerete, Región Biogeográfica del Chocó. Montaje parcelas permanentes Investigación-Cuad.:E-12 Ind: 253"
TULV12606,"W. Devia, A. Cogollo, A. Cruz, S. Gonzalez",Guatteria,ANNONACEAE,Instituto para la Investigación y la Preservación del Patrimonio Cultural y Natural del Valle del Cauca,SA,Colombia,Valle del Cauca,Buenaventura,Córdoba,"Corregimiento Cordoba, San Cipriano, Reserva Natural río Escalerete, Región Biogeográfica del Chocó. Montaje parcelas permanentes Investigación-Cuad.:E5,  Ind:116,"
TULV12948,"W. Devia, C. M. Taylor, J. Adarve, J. P. Medina",Crematosperma,ANNONACEAE,Instituto para la Investigación y la Preservación del Patrimonio Cultural y Natural del Valle del Cauca,SA,Colombia,Valle del Cauca,Buenaventura,Córdoba,"Corregimiento Cordoba, Vereda San Cipriano. Reserva Natural río Escalerete, Montaje parcelas permanentes de investigación, Transecto E (dentro de la D),"
TULV12949,"W. Devia, C. M. Taylor, A. Cogollo, A. Cruz",Sin especificar,ANNONACEAE,Instituto para la Investigación y la Preservación del Patrimonio Cultural y Natural del Valle del Cauca,SA,Colombia,Valle del Cauca,Buenaventura,Córdoba,"Corregimiento Cordoba, vereda San Cipriano, Reserva Natural río Escalerete, Región Biogeográfica del Chocó. Montaje parcelas permanentes Investigación-Cuad.:23,  Ind: 516"
TULV12950,"W. Devia, C. M. Taylor, A. Cogollo, A. Cruz",Guatteria,ANNONACEAE,Instituto para la Investigación y la Preservación del Patrimonio Cultural y Natural del Valle del Cauca,SA,Colombia,Valle del Cauca,Buenaventura,Córdoba,"Corregimiento Cordoba,  vereda San Cipriano, Reserva Natural río Escalerete, Región Biogeográfica del Chocó. Montaje parcelas permanentes Investigación-Cuad.:23,  Ind: 443"
TULV12951,"W. Devia, C. M. Taylor, A. Cogollo, A. Cruz",Eschweilera,LECYTHIDACEAE,Instituto para la Investigación y la Preservación del Patrimonio Cultural y Natural del Valle del Cauca,SA,Colombia,Valle del Cauca,Buenaventura,Córdoba,"Corregimiento Cordoba, San Cipriano, Reserva Natural río Escalerete, Región Biogeográfica del Chocó. Montaje parcelas permanentes Investigación-Cuad.:22,  Ind: 424"
TULV12952,"W. Devia, C. M. Taylor, A. Cogollo, A. Cruz",Guatteria columbiana R.E.Fr.,ANNONACEAE,Instituto para la Investigación y la Preservación del Patrimonio Cultural y Natural del Valle del Cauca,SA,Colombia,Valle del Cauca,Buenaventura,Córdoba,"Corregimiento Cordoba, San Cipriano, Reserva Natural río Escalerete, Región Biogeografica del Chocó. Montaje parcelas permanentes Investigación-Cuad.:25,  Ind: 509"
TULV12953,"W. Devia, C. M. Taylor, A. Cogollo, A. Cruz",Guatteria,ANNONACEAE,Instituto para la Investigación y la Preservación del Patrimonio Cultural y Natural del Valle del Cauca,SA,Colombia,Valle del Cauca,Buenaventura,Córdoba,"Corregimiento Cordoba, Vereda San Cipriano, Reserva Natural río Escalerete, Región Biogeográfica del Chocó. Montaje parcelas permanentes Investigación-Cuad.:25,  Ind: 501"
TULV12954,"W. Devia, C. M. Taylor, A. Cogollo, A. Cruz",Unonopsis,ANNONACEAE,Instituto para la Investigación y la Preservación del Patrimonio Cultural y Natural del Valle del Cauca,SA,Colombia,Valle del Cauca,Buenaventura,Córdoba,"Corregimiento Cordoba, San Cipriano, Reserva Natural río Escalerete, Región Biogeográfica del Chocó. Montaje parcelas permanentes Investigación-Cuad.:24,  Ind: 480"
TULV12956,"W. Devia, C. M. Taylor, A. Cogollo, A. Cruz",Guatteria columbiana R.E.Fr.,ANNONACEAE,Instituto para la Investigación y la Preservación del Patrimonio Cultural y Natural del Valle del Cauca,SA,Colombia,Valle del Cauca,Buenaventura,Córdoba,"Corregimiento Cordoba, San Cipriano, Reserva Natural río Escalerete, Región Biogeográfica del Chocó. Montaje parcelas permanentes Investigación-Cuad.:21,  Ind: 398"
TULV12957,"W. Devia, C. M. Taylor, A. Cogollo, A. Cruz",Crematosperma,ANNONACEAE,Instituto para la Investigación y la Preservación del Patrimonio Cultural y Natural del Valle del Cauca,SA,Colombia,Valle del Cauca,Buenaventura,Córdoba,"Corregimiento Cordoba, San Cipriano, Reserva Natural río Escalerete, Región Biogeografica del Chocó. Montaje parcelas permanentes Investigación-Cuad.:19,  Ind: 364"
TULV12958,"W. Devia, C. M. Taylor, A. Cogollo, A. Cruz",Xylopia sericea A.St.-Hil .,ANNONACEAE,Instituto para la Investigación y la Preservación del Patrimonio Cultural y Natural del Valle del Cauca,SA,Colombia,Valle del Cauca,Buenaventura,Córdoba,"Corregimiento Cordoba, San Cipriano, Reserva Natural río Escalerete, Región Biogeográfica del Chocó. Montaje parcelas permanentes Investigación-Cuad.:19,  Ind: 355"
TULV12959,"W. Devia, C. M. Taylor, A. Cogollo, A. Cruz",Oxandra,ANNONACEAE,Instituto para la Investigación y la Preservación del Patrimonio Cultural y Natural del Valle del Cauca,SA,Colombia,Valle del Cauca,Buenaventura,Córdoba,"Corregimiento Cordoba, vereda San Cipriano, Reserva Natural río Escalerete, Región Biogeográfica del Chocó. Montaje parcelas permanentes Investigación-Cuad.:15,  Ind: 287"
TULV12960,"W. Devia, C. M. Taylor, A. Cogollo, A. Cruz",Guatteria,ANNONACEAE,Instituto para la Investigación y la Preservación del Patrimonio Cultural y Natural del Valle del Cauca,SA,Colombia,Valle del Cauca,Buenaventura,Córdoba,"Corregimiento Cordoba, San Cipriano, Reserva Natural río Escalerete, Región Biogeográfica del Chocó. Montaje parcelas permanentes Investigación-Cuad.:U12, Ind: 212"
TULV12961,"W. Devia, C. M. Taylor, A. Cogollo, A. Cruz",Sin especificar,ANNONACEAE,Instituto para la Investigación y la Preservación del Patrimonio Cultural y Natural del Valle del Cauca,SA,Colombia,Valle del Cauca,Buenaventura,Córdoba,"Corregimiento Cordoba, San Cipriano, Reserva Natural río Escalerete, Región Biogeográfica del Chocó. Montaje parcelas permanentes Investigación-Cuad.:U10, Ind: 169"
TULV12962,"W. Devia, C. M. Taylor, A. Cogollo, A. Cruz",Sin especificar,ANNONACEAE,Instituto para la Investigación y la Preservación del Patrimonio Cultural y Natural del Valle del Cauca,SA,Colombia,Valle del Cauca,Buenaventura,Córdoba,"Corregimiento Cordoba, Vereda San Cipriano, Reserva Natural río Escalerete, Región Biogeográfica del Chocó. Montaje parcelas permanentes Investigación-Cuad.:U10, Ind: 167"
TULV12963,"W. Devia, C. M. Taylor, A. Cogollo, A. Cruz",Sin especificar,ANNONACEAE,Instituto para la Investigación y la Preservación del Patrimonio Cultural y Natural del Valle del Cauca,SA,Colombia,Valle del Cauca,Buenaventura,Córdoba,"Corregimiento Cordoba, San Cipriano, Reserva Natural río Escalerete, Región Biogeográfica del Choco. Montaje parcelas permanentes Investigación-Cuad.:U7, Ind: 122"
TULV12964,"W. Devia, C. M. Taylor, A. Cogollo, A. Cruz",Sin especificar,ANNONACEAE,Instituto para la Investigación y la Preservación del Patrimonio Cultural y Natural del Valle del Cauca,SA,Colombia,Valle del Cauca,Buenaventura,Córdoba,"Corregimiento Cordoba, San Cipriano, Reserva Natural río Escalerete, Región Biogeográfica del Chocó. Montaje parcelas permanentes Investigación-Cuad.:U3, Ind: 53"
TULV12965,"W. Devia, C. M. Taylor, A. Cogollo, A. Cruz",Guatteria,ANNONACEAE,Instituto para la Investigación y la Preservación del Patrimonio Cultural y Natural del Valle del Cauca,SA,Colombia,Valle del Cauca,Buenaventura,Córdoba,"Corregimiento Cordoba, San Cipriano, Reserva Natural río Escalerete, Región Biogeográfica del Chocó. Montaje parcelas permanentes Investigación-Cuad.:U1, Ind: 18"
