#,Nombre,Número de Catálogo,Colector(es),Reino,Phylum,Clase,Orden,Familia,Género,País,Departamento,Municipio,Localidad,Latitud,Longitud
1,Achatocarpus nigricans Triana,TULV17802,"A. Castaño N, W. Devia",Plantae,Magnoliophyta,Magnoliopsida,Caryophyllales,ACHATOCARPACEAE,Achatocarpus,Colombia,Valle del Cauca,Obando,"Obando Via San Isidro, finca Cristales","04°34'02.2""N","75°57'45.3""W"
12,Guatteria,TULV7751,"W. Devia, R. Bernal, E. Linares",Plantae,Magnoliophyta,Magnoliopsida,Magnoliales,ANNONACEAE,Guatteria,Colombia,Valle del Cauca,Buenaventura,"Corregimiento Bajo Calima, Cartón Colombia, Km. 22 vía a Malaga, frente Hans.","03°56'00''N","77°08'00''W"
13,Annona reticulata L.,TULV7834,D. Sanchez,Plantae,Magnoliophyta,Magnoliopsida,Magnoliales,ANNONACEAE,Annona,Colombia,Antioquia,Frontino,Sin especificar,Sin especificar,Sin especificar
14,Guatteria,TULV8578,T. B. Croat,Plantae,Magnoliophyta,Magnoliopsida,Magnoliales,ANNONACEAE,Guatteria,Colombia,Valle del Cauca,Yotoco,"Cordillera Occidental, eastern slopes, along highway between Dapa and Loboguerrero at Parque Yotoco.","03°52'00''N","76°22'00''W"
15,Annona,TULV8733,T. B. Croat,Plantae,Magnoliophyta,Magnoliopsida,Magnoliales,ANNONACEAE,Annona,Colombia,Valle del Cauca,Tuluá,"Along road between Tulua and Sta. Lucia (via La Marina, La Moralia, Venus and Monteloro) SE of Tulua, at Hda. Piedritas,","03°55'00''N","76°04'00''W"
16,Guatteria,TULV8829,W. Devia,Plantae,Magnoliophyta,Magnoliopsida,Magnoliales,ANNONACEAE,Guatteria,Colombia,Nariño,Tumaco,Sin especificar,Sin especificar,Sin especificar
17,Rollinia,TULV8845,W. Devia,Plantae,Magnoliophyta,Magnoliopsida,Magnoliales,ANNONACEAE,Rollinia,Colombia,Nariño,Barbacoas,Vía Barbacoas-Junín.,"01°31'00''N","78°05'00''W"
18,Guatteria,TULV8854,W. Devia,Plantae,Magnoliophyta,Magnoliopsida,Magnoliales,ANNONACEAE,Guatteria,Colombia,Nariño,Barbacoas,Vía Barbacoas-Junín.,"01°31'00''N","78°05'00''W"
19,Guatteria,TULV8906,W. Devia,Plantae,Magnoliophyta,Magnoliopsida,Magnoliales,ANNONACEAE,Guatteria,Colombia,Valle del Cauca,Buenaventura,"Vía Malaga, Km. 47, bosque pluvial Tropical.","03°56'00''N","77°08'00''W"
20,Unonopsis,TULV8913,W. Devia,Plantae,Magnoliophyta,Magnoliopsida,Magnoliales,ANNONACEAE,Unonopsis,Colombia,Valle del Cauca,Buenaventura,"Corregimiento Canalete, Km. 28, vía Málaga, bosque pluvial Tropical.","03°56'00''N","77°08'00''W"
21,Oxandra,TULV10343,"W. Devia, A. Cogollo, G. Ramirez, A. Cruz",Plantae,Magnoliophyta,Magnoliopsida,Magnoliales,ANNONACEAE,Oxandra,Colombia,Valle del Cauca,Buenaventura,"Reserva Natural río Escalerete, bosque pluvial Tropical. Transecto 14.","03°49'41''N","76°52'10''W"
22,Pseudoxandra pacifica Maas,TULV10344,"W. Devia, D. Cardenas, A. Cruz",Plantae,Magnoliophyta,Magnoliopsida,Magnoliales,ANNONACEAE,Pseudoxandra,Colombia,Valle del Cauca,Buenaventura,"Corregimiento Cordoba, Vereda San Cipriano, Reserva Natural río Escalerete, bosque pluvial Tropical, Región Fitogeografica del Chocó. Transecto 9.","03°49'41''N","76°52'10''W"
23,Unonopsis,TULV10345,"W. Devia, A. Cogollo, G. Ramirez, A. Cruz",Plantae,Magnoliophyta,Magnoliopsida,Magnoliales,ANNONACEAE,Unonopsis,Colombia,Valle del Cauca,Buenaventura,"Reserva Natural río Escalerete, bosque pluvial Tropical. Transecto 15.","03°49'41''N","76°52'10''W"
24,Unonopsis,TULV10346,"W. Devia, A. Cogollo, G. Ramirez, A. Cruz",Plantae,Magnoliophyta,Magnoliopsida,Magnoliales,ANNONACEAE,Unonopsis,Colombia,Valle del Cauca,Buenaventura,"Reserva Natural río Escalerete, bosque pluvial Tropical. Transecto 16.","03°49'41''N","76°52'10''W"
25,Xylopia,TULV10347,"W. Devia, A. Cogollo, G. Ramirez, A. Cruz",Plantae,Magnoliophyta,Magnoliopsida,Magnoliales,ANNONACEAE,Xylopia,Colombia,Valle del Cauca,Buenaventura,"Reserva Natural río Escalerete, bosque pluvial Tropical. Transecto 17.","03°49'41''N","76°52'10''W"
26,Guatteria,TULV10348,"W. Devia, D. Cardenas, A. Cruz",Plantae,Magnoliophyta,Magnoliopsida,Magnoliales,ANNONACEAE,Guatteria,Colombia,Valle del Cauca,Buenaventura,"Corregimiento Cordoba, San Cipriano, Reserva Natural río Escalerete, bosque pluvial Tropical, Región Fitogeográfica del Chocó.","03°49'41''N","76°52'10''W"
27,Oxandra,TULV10349,"W. Devia, D. Cardenas, A. Cruz",Plantae,Magnoliophyta,Magnoliopsida,Magnoliales,ANNONACEAE,Oxandra,Colombia,Valle del Cauca,Buenaventura,"Corregimiento Cordoba, San Cipriano, Reserva Natural río Escalerete, bosque pluvial Tropical, Región Fitogeográfica del Chocó.","03°49'41''N","76°52'10''W"
28,Unonopsis,TULV10350,"W. Devia, A. Cogollo, G. Ramirez, A. Cruz",Plantae,Magnoliophyta,Magnoliopsida,Magnoliales,ANNONACEAE,Unonopsis,Colombia,Valle del Cauca,Buenaventura,"Reserva Natural río Escalerete, bosque pluvial Tropical. Transecto 18.","03°49'41''N","76°52'10''W"
29,Duguetia odorata(Diels) J.F.Macbr.,TULV10351,"W. Devia, D. Cardenas, A. Cruz",Plantae,Magnoliophyta,Magnoliopsida,Magnoliales,ANNONACEAE,Duguetia,Colombia,Valle del Cauca,Buenaventura,"Corregimiento Cordoba, San Cipriano, Reserva Natural río Escalerete, bosque pluvial Tropical, Región Fitogeografica del Chocó.","03°49'41''N","76°52'10''W"
30,Pseudoxandra pacifica Maas,TULV10352,"W. Devia, D. Cardenas, A. Cruz",Plantae,Magnoliophyta,Magnoliopsida,Magnoliales,ANNONACEAE,Pseudoxandra,Colombia,Valle del Cauca,Buenaventura,"Corregimiento Cordoba, Vereda San Cipriano, Reserva Natural río Escalerete, bosque pluvial Tropical, Región Fitogeográfica del Chocó.","03°49'41''N","76°52'10''W"
31,Guatteria,TULV10355,"W. Devia, D. Cardenas, A. Cruz",Plantae,Magnoliophyta,Magnoliopsida,Magnoliales,ANNONACEAE,Guatteria,Colombia,Valle del Cauca,Buenaventura,"Corregimiento Cordoba, San Cipriano, Reserva Natural río Escalerete, bosque pluvial Tropical, Región Fitogeográfica del Chocó. Transecto 2.","03°49'41''N","76°52'10''W"
32,Guatteria,TULV10356,"W. Devia, D. Cardenas, A. Cruz",Plantae,Magnoliophyta,Magnoliopsida,Magnoliales,ANNONACEAE,Guatteria,Colombia,Valle del Cauca,Buenaventura,"Corregimiento Cordoba, vereda San Cipriano, Reserva Natural río Escalerete, bosque pluvial Tropical, Región Fitogeográfica del Chocó. Transecto 5.","03°49'41''N","76°52'10''W"
33,Unonopsis,TULV10357,"W. Devia, D. Cardenas, A. Cruz",Plantae,Magnoliophyta,Magnoliopsida,Magnoliales,ANNONACEAE,Unonopsis,Colombia,Valle del Cauca,Buenaventura,"Corregimiento Cordoba, vereda San Cipriano, Reserva Natural río Escalerete, bosque pluvial Tropical, Región Fitogeográfica del Chocó. Transecto 6.","03°49'41''N","76°52'10''W"
34,Pseudoxandra pacifica Maas,TULV10358,"W. Devia, D. Cardenas, A. Cruz",Plantae,Magnoliophyta,Magnoliopsida,Magnoliales,ANNONACEAE,Pseudoxandra,Colombia,Valle del Cauca,Buenaventura,"Corregimiento Cordoba, Vereda San Cipriano, Reserva Natural río Escalerete, bosque pluvial Tropical, Región Fitogeografica del Chocó. Transecto 8.","03°49'41''N","76°52'10''W"
35,Guatteria,TULV10359,"W. Devia, D. Cardenas, A. Cruz",Plantae,Magnoliophyta,Magnoliopsida,Magnoliales,ANNONACEAE,Guatteria,Colombia,Valle del Cauca,Buenaventura,"Corregimiento Cordoba, vereda San Cipriano, Reserva Natural río Escalerete, bosque pluvial Tropical, Región Fitogeográfica del Chocó.","03°49'41''N","76°52'10''W"
36,Xylopia columbiana R.E.Fr.,TULV10360,"W. Devia, D. Cardenas, A. Cruz",Plantae,Magnoliophyta,Magnoliopsida,Magnoliales,ANNONACEAE,Xylopia,Colombia,Valle del Cauca,Buenaventura,"Corregimiento Cordoba, vereda San Cipriano, Reserva Natural río Escalerete, bosque pluvial Tropical, Región Fitogeográfica del Chocó.","03°49'41''N","76°52'10''W"
37,Unonopsis,TULV10361,"W. Devia, D. Cardenas, A. Cruz",Plantae,Magnoliophyta,Magnoliopsida,Magnoliales,ANNONACEAE,Unonopsis,Colombia,Valle del Cauca,Buenaventura,"Corregimiento Cordoba, Vereda San Cipriano, Reserva Natural río Escalerete, bosque pluvial Tropical, Región Fitogeográfica del Chocó. Transecto 1.","03°49'41''N","76°52'10''W"
38,Guatteria,TULV10362,"W. Devia, D. Cardenas, A. Cruz",Plantae,Magnoliophyta,Magnoliopsida,Magnoliales,ANNONACEAE,Guatteria,Colombia,Valle del Cauca,Buenaventura,"Corregimiento Cordoba, San Cipriano, Reserva Natural río Escalerete, bosque pluvial Tropical, Región Fitogeográfica del Chocó. Transecto 1.","03°49'41''N","76°52'10''W"
39,Unonopsis,TULV10363,"W. Devia, A. Cogollo, G. Ramirez, A. Cruz",Plantae,Magnoliophyta,Magnoliopsida,Magnoliales,ANNONACEAE,Unonopsis,Colombia,Valle del Cauca,Buenaventura,"Reserva Natural río Escalerete, bosque pluvial Tropical. Transecto 11.","03°49'41''N","76°52'10''W"
40,Guatteria cargadero Triana & Planch.,TULV10364,"W. Devia, D. Cardenas, A. Cruz",Plantae,Magnoliophyta,Magnoliopsida,Magnoliales,ANNONACEAE,Guatteria,Colombia,Valle del Cauca,Buenaventura,"Corregimiento Cordoba, San Cipriano, Reserva Natural río Escalerete, bosque pluvial Tropical, Región Fitogeográfica del Chocó. Transecto 1.","03°49'41''N","76°52'10''W"
41,Tournefortia,TULV10365,"W. Devia, D. Cardenas, A. Cruz",Plantae,Magnoliophyta,Magnoliopsida,Boraginales,BORAGINACEAE,Tournefortia,Colombia,Valle del Cauca,Buenaventura,"Corregimiento Cordoba, San Cipriano, Reserva Natural río Escalerete, bosque pluvial Tropical, Región Fitogeográfica del Chocó. Transecto 9.","03°49'41''N","76°52'10''W"
42,Guatteria,TULV10366,"W. Devia, A. Cogollo, G. Ramirez, A. Cruz",Plantae,Magnoliophyta,Magnoliopsida,Magnoliales,ANNONACEAE,Guatteria,Colombia,Valle del Cauca,Buenaventura,"Reserva Natural río Escalerete, bosque pluvial Tropical. Transecto 13.","03°49'41''N","76°52'10''W"
43,Unonopsis,TULV10367,"W. Devia, D. Cardenas, A. Cruz",Plantae,Magnoliophyta,Magnoliopsida,Magnoliales,ANNONACEAE,Unonopsis,Colombia,Valle del Cauca,Buenaventura,"Corregimiento Cordoba, vereda San Cipriano, Reserva Natural río Escalerete, bosque pluvial Tropical, Región Fitogeográfica del Chocó. Transecto 9.","03°49'41''N","76°52'10''W"
44,Annona,TULV10368,"W. Devia, D. Cardenas, A. Cruz",Plantae,Magnoliophyta,Magnoliopsida,Magnoliales,ANNONACEAE,Annona,Colombia,Valle del Cauca,Buenaventura,"Corregimiento Cordoba, San Cipriano, Reserva Natural río Escalerete, bosque pluvial Tropical, Región Fitogeográfica del Chocó. Transecto 9.","03°49'41''N","76°52'10''W"
45,Crematosperma,TULV10369,"W. Devia, D. Cardenas, A. Cruz",Plantae,Magnoliophyta,Magnoliopsida,Magnoliales,ANNONACEAE,Crematosperma,Colombia,Valle del Cauca,Buenaventura,"Corregimiento Cordoba, San Cipriano, Reserva Natural río Escalerete, bosque pluvial Tropical, Región Fitogeografica del Chocó.","03°49'41''N","76°52'10''W"
46,Duguetia odorata(Diels) J.F.Macbr.,TULV10370,"W. Devia, D. Cardenas, A. Cruz",Plantae,Magnoliophyta,Magnoliopsida,Magnoliales,ANNONACEAE,Duguetia,Colombia,Valle del Cauca,Buenaventura,"Corregimiento Cordoba, San Cipriano, Reserva Natural río Escalerete, bosque pluvial Tropical, Región Fitogeografica del Chocó. Transecto 5.","03°49'41''N","76°52'10''W"
47,Guatteria,TULV11213,"K. S. Edwards, W. Devia",Plantae,Magnoliophyta,Magnoliopsida,Magnoliales,ANNONACEAE,Guatteria,Colombia,Valle del Cauca,Buenaventura,"Ca. 30 Km on road Buenaventura-Cali, pendiciones","03°52'00''N","76°49'00''W"
48,Guatteria crassipes R.E.Fr.,TULV11344,"K. S. Edwards, M. Ruiz E., M. Esperanza R.",Plantae,Magnoliophyta,Magnoliopsida,Magnoliales,ANNONACEAE,Guatteria,Colombia,Valle del Cauca,Cali,"Parcelación Chorro de plata, path to waterfall Chorro de Plata.","03°20'00''N","76°35'00''W"
49,Sin especificar,TULV12060,"R. Ruiz, E. Correa",Plantae,Magnoliophyta,Magnoliopsida,Magnoliales,ANNONACEAE,Sin especificar,Colombia,Valle del Cauca,Palmira,"I.P. Toche, Vereda La Tigrera, Finca Marulanda.",Sin especificar,Sin especificar
50,Guatteria,TULV12114,"R. Ruiz, C. Quiceno, A. Beltran",Plantae,Magnoliophyta,Magnoliopsida,Magnoliales,ANNONACEAE,Guatteria,Colombia,Valle del Cauca,Palmira,"Vereda los Tambos, quebrada Aguazul, carretera vereda la María-vereda Aguazul.",Sin especificar,Sin especificar
51,Guatteria,TULV12115,"R. Ruiz, C. Quiceno, A. Beltran",Plantae,Magnoliophyta,Magnoliopsida,Magnoliales,ANNONACEAE,Guatteria,Colombia,Valle del Cauca,Palmira,"Vereda los Tambos, quebrada Aguazul, carretera vereda la María-vereda Aguazul.",Sin especificar,Sin especificar
52,Annona,TULV12123,"R. Ruiz, A. Beltran",Plantae,Magnoliophyta,Magnoliopsida,Magnoliales,ANNONACEAE,Annona,Colombia,Valle del Cauca,Palmira,"Inspección de Policía de Tenjo, quebrada Los Cuervos.","03°32'00''N","76°11'00''W"
53,Guatteria,TULV12390,"W. Devia, A. Cogollo, A. Cruz, S. Gonzalez",Plantae,Magnoliophyta,Magnoliopsida,Magnoliales,ANNONACEAE,Guatteria,Colombia,Valle del Cauca,Buenaventura,"Corregimiento Cordoba, vereda San Cipriano, Reserva Natural río Escalerete, Región Biogeográfica del Chocó. Montaje parcelas Permanentes Investigación-Cuad.:E-3  Ind: 68","03°49'41''N","76°52'10''W"
54,Guatteria,TULV12391,"W. Devia, A. Cogollo, A. Cruz, S. Gonzalez",Plantae,Magnoliophyta,Magnoliopsida,Magnoliales,ANNONACEAE,Guatteria,Colombia,Valle del Cauca,Buenaventura,"Corregimiento Cordoba, vereda San Cipriano, Reserva Natural río Escalerete, Región Biogeográfica del Chocó. Montaje parcelas Permanentes Investigación-Cuad.:E-3  Ind: 69","03°49'41''N","76°52'10''W"
55,Guatteria,TULV12498,"W. Devia, D. Cardenas, A. Cruz",Plantae,Magnoliophyta,Magnoliopsida,Magnoliales,ANNONACEAE,Guatteria,Colombia,Valle del Cauca,Buenaventura,"Corregimiento Cordoba, San Cipriano, Reserva Natural río Escalerete","03°49'41''N","76°52'10''W"
56,Guatteria,TULV12597,"W. Devia, A. Cogollo, A. Cruz, S. Gonzalez",Plantae,Magnoliophyta,Magnoliopsida,Magnoliales,ANNONACEAE,Guatteria,Colombia,Valle del Cauca,Buenaventura,"Corregimiento Cordoba, San Cipriano, Reserva Natural rio Escalerete, Region Biogeografica del Choco. Montaje parcelas permanentes Investigacion-Cuad.:E24, Ind: 488,","03°49'41''N","76°52'10''W"
57,Guatteria,TULV12598,"W. Devia, A. Cogollo, A. Cruz, S. Gonzalez",Plantae,Magnoliophyta,Magnoliopsida,Magnoliales,ANNONACEAE,Guatteria,Colombia,Valle del Cauca,Buenaventura,"Corregimiento Cordoba, San Cipriano, Reserva Natural río Escalerete, Región Biogeográfica del Chocó. Montaje parcelas permanentes Investigación-Cuad.:E21, Ind: 420","03°49'41''N","76°52'10''W"
58,Anaxagorea,TULV12599,"W. Devia, A. Cogollo, A. Cruz, S. Gonzalez",Plantae,Magnoliophyta,Magnoliopsida,Magnoliales,ANNONACEAE,Anaxagorea,Colombia,Valle del Cauca,Buenaventura,"Corregimiento Cordoba, San Cipriano, Reserva Natural rio Escalerete, Region Biogeografica del Choco. Montaje parcelas permanentes Investigacion-Cuad.:E22, Ind: 445,","03°49'41''N","76°52'10''W"
59,Sin especificar,TULV18071,"W. Devia, A. Cogollo, A. Cruz, S. Gonzalez",Plantae,Magnoliophyta,Magnoliopsida,Magnoliales,ANNONACEAE,Sin especificar,Colombia,Valle del Cauca,Buenaventura,"Corregimiento Cordoba, vereda San Cipriano, Reserva Natural río Escalerete, Región Biogeográfica del Chocó. Montaje parcelas permanentes Investigación-Cuad.:E-16 Ind: 315","03°49'41''N","76°52'10''W"
60,Rollinia,TULV12601,"W. Devia, A. Cogollo, A. Cruz, S. Gonzalez",Plantae,Magnoliophyta,Magnoliopsida,Magnoliales,ANNONACEAE,Rollinia,Colombia,Valle del Cauca,Buenaventura,"Corregimiento Cordoba, vereda San Cipriano, Reserva Natural río Escalerete, Región Biogeográfica del Chocó. Montaje parcelas permanentes Investigación-Cuad.:E-12 Ind: 250","03°49'41''N","76°52'10''W"
61,Rollinia,TULV12602,"W. Devia, A. Cogollo, A. Cruz, S. Gonzalez",Plantae,Magnoliophyta,Magnoliopsida,Magnoliales,ANNONACEAE,Rollinia,Colombia,Valle del Cauca,Buenaventura,"Corregimiento Cordoba, San Cipriano, Reserva Natural río Escalerete, Región Biogeográfica del Chocó. Montaje parcelas permanentes Investigación-Cuad.:E-12 Ind: 253","03°49'41''N","76°52'10''W"
62,Guatteria,TULV12606,"W. Devia, A. Cogollo, A. Cruz, S. Gonzalez",Plantae,Magnoliophyta,Magnoliopsida,Magnoliales,ANNONACEAE,Guatteria,Colombia,Valle del Cauca,Buenaventura,"Corregimiento Cordoba, San Cipriano, Reserva Natural río Escalerete, Región Biogeográfica del Chocó. Montaje parcelas permanentes Investigación-Cuad.:E5,  Ind:116,","03°49'41''N","76°52'10''W"
63,Crematosperma,TULV12948,"W. Devia, C. M. Taylor, J. Adarve, J. P. Medina",Plantae,Magnoliophyta,Magnoliopsida,Magnoliales,ANNONACEAE,Crematosperma,Colombia,Valle del Cauca,Buenaventura,"Corregimiento Cordoba, Vereda San Cipriano. Reserva Natural río Escalerete, Montaje parcelas permanentes de investigación, Transecto E (dentro de la D),","03°49'41''N","76°52'10''W"
64,Sin especificar,TULV12949,"W. Devia, C. M. Taylor, A. Cogollo, A. Cruz",Plantae,Magnoliophyta,Magnoliopsida,Magnoliales,ANNONACEAE,Sin especificar,Colombia,Valle del Cauca,Buenaventura,"Corregimiento Cordoba, vereda San Cipriano, Reserva Natural río Escalerete, Región Biogeográfica del Chocó. Montaje parcelas permanentes Investigación-Cuad.:23,  Ind: 516","03°49'41''N","76°52'10''W"
65,Guatteria,TULV12950,"W. Devia, C. M. Taylor, A. Cogollo, A. Cruz",Plantae,Magnoliophyta,Magnoliopsida,Magnoliales,ANNONACEAE,Guatteria,Colombia,Valle del Cauca,Buenaventura,"Corregimiento Cordoba,  vereda San Cipriano, Reserva Natural río Escalerete, Región Biogeográfica del Chocó. Montaje parcelas permanentes Investigación-Cuad.:23,  Ind: 443","03°49'41''N","76°52'10''W"
66,Eschweilera,TULV12951,"W. Devia, C. M. Taylor, A. Cogollo, A. Cruz",Plantae,Magnoliophyta,Magnoliopsida,Ericales,LECYTHIDACEAE,Eschweilera,Colombia,Valle del Cauca,Buenaventura,"Corregimiento Cordoba, San Cipriano, Reserva Natural río Escalerete, Región Biogeográfica del Chocó. Montaje parcelas permanentes Investigación-Cuad.:22,  Ind: 424","03°49'41''N","76°52'10''W"
67,Guatteria columbiana R.E.Fr.,TULV12952,"W. Devia, C. M. Taylor, A. Cogollo, A. Cruz",Plantae,Magnoliophyta,Magnoliopsida,Magnoliales,ANNONACEAE,Guatteria,Colombia,Valle del Cauca,Buenaventura,"Corregimiento Cordoba, San Cipriano, Reserva Natural río Escalerete, Región Biogeografica del Chocó. Montaje parcelas permanentes Investigación-Cuad.:25,  Ind: 509","03°49'41''N","76°52'10''W"
68,Guatteria,TULV12953,"W. Devia, C. M. Taylor, A. Cogollo, A. Cruz",Plantae,Magnoliophyta,Magnoliopsida,Magnoliales,ANNONACEAE,Guatteria,Colombia,Valle del Cauca,Buenaventura,"Corregimiento Cordoba, Vereda San Cipriano, Reserva Natural río Escalerete, Región Biogeográfica del Chocó. Montaje parcelas permanentes Investigación-Cuad.:25,  Ind: 501","03°49'41''N","76°52'10''W"
69,Unonopsis,TULV12954,"W. Devia, C. M. Taylor, A. Cogollo, A. Cruz",Plantae,Magnoliophyta,Magnoliopsida,Magnoliales,ANNONACEAE,Unonopsis,Colombia,Valle del Cauca,Buenaventura,"Corregimiento Cordoba, San Cipriano, Reserva Natural río Escalerete, Región Biogeográfica del Chocó. Montaje parcelas permanentes Investigación-Cuad.:24,  Ind: 480","03°49'41''N","76°52'10''W"
70,Guatteria columbiana R.E.Fr.,TULV12956,"W. Devia, C. M. Taylor, A. Cogollo, A. Cruz",Plantae,Magnoliophyta,Magnoliopsida,Magnoliales,ANNONACEAE,Guatteria,Colombia,Valle del Cauca,Buenaventura,"Corregimiento Cordoba, San Cipriano, Reserva Natural río Escalerete, Región Biogeográfica del Chocó. Montaje parcelas permanentes Investigación-Cuad.:21,  Ind: 398","03°49'41''N","76°52'10''W"
71,Crematosperma,TULV12957,"W. Devia, C. M. Taylor, A. Cogollo, A. Cruz",Plantae,Magnoliophyta,Magnoliopsida,Magnoliales,ANNONACEAE,Crematosperma,Colombia,Valle del Cauca,Buenaventura,"Corregimiento Cordoba, San Cipriano, Reserva Natural río Escalerete, Región Biogeografica del Chocó. Montaje parcelas permanentes Investigación-Cuad.:19,  Ind: 364","03°49'41''N","76°52'10''W"
72,Xylopia sericea A.St.-Hil .,TULV12958,"W. Devia, C. M. Taylor, A. Cogollo, A. Cruz",Plantae,Magnoliophyta,Magnoliopsida,Magnoliales,ANNONACEAE,Xylopia,Colombia,Valle del Cauca,Buenaventura,"Corregimiento Cordoba, San Cipriano, Reserva Natural río Escalerete, Región Biogeográfica del Chocó. Montaje parcelas permanentes Investigación-Cuad.:19,  Ind: 355","03°49'41''N","76°52'10''W"
73,Oxandra,TULV12959,"W. Devia, C. M. Taylor, A. Cogollo, A. Cruz",Plantae,Magnoliophyta,Magnoliopsida,Magnoliales,ANNONACEAE,Oxandra,Colombia,Valle del Cauca,Buenaventura,"Corregimiento Cordoba, vereda San Cipriano, Reserva Natural río Escalerete, Región Biogeográfica del Chocó. Montaje parcelas permanentes Investigación-Cuad.:15,  Ind: 287","03°49'41''N","76°52'10''W"
74,Guatteria,TULV12960,"W. Devia, C. M. Taylor, A. Cogollo, A. Cruz",Plantae,Magnoliophyta,Magnoliopsida,Magnoliales,ANNONACEAE,Guatteria,Colombia,Valle del Cauca,Buenaventura,"Corregimiento Cordoba, San Cipriano, Reserva Natural río Escalerete, Región Biogeográfica del Chocó. Montaje parcelas permanentes Investigación-Cuad.:U12, Ind: 212","03°49'41''N","76°52'10''W"
75,Sin especificar,TULV12961,"W. Devia, C. M. Taylor, A. Cogollo, A. Cruz",Plantae,Magnoliophyta,Magnoliopsida,Magnoliales,ANNONACEAE,Sin especificar,Colombia,Valle del Cauca,Buenaventura,"Corregimiento Cordoba, San Cipriano, Reserva Natural río Escalerete, Región Biogeográfica del Chocó. Montaje parcelas permanentes Investigación-Cuad.:U10, Ind: 169","03°49'41''N","76°52'10''W"
76,Sin especificar,TULV12962,"W. Devia, C. M. Taylor, A. Cogollo, A. Cruz",Plantae,Magnoliophyta,Magnoliopsida,Magnoliales,ANNONACEAE,Sin especificar,Colombia,Valle del Cauca,Buenaventura,"Corregimiento Cordoba, Vereda San Cipriano, Reserva Natural río Escalerete, Región Biogeográfica del Chocó. Montaje parcelas permanentes Investigación-Cuad.:U10, Ind: 167","03°49'41''N","76°52'10''W"
